true_class,predicted_as,count
SkinCancer,Benign_tumors,13
Vascular_Tumors,Benign_tumors,9
Eczema,Tinea,8
Eczema,Psoriasis,7
Moles,Benign_tumors,7
Unknown_Normal,Vitiligo,7
Infestations_Bites,Benign_tumors,6
Seborrh_Keratoses,Benign_tumors,5
Psoriasis,Eczema,5
Benign_tumors,Vascular_Tumors,5
DrugEruption,Actinic_Keratosis,5
SkinCancer,Moles,5
Tinea,Candidiasis,5
Bullous,Vasculitis,4
Actinic_Keratosis,Rosacea,4
Infestations_Bites,Vasculitis,4
Tinea,Eczema,4
Lichen,DrugEruption,4
Psoriasis,Warts,4
Benign_tumors,Tinea,4
Benign_tumors,SkinCancer,4
Lichen,Tinea,3
Infestations_Bites,Eczema,3
Benign_tumors,Moles,3
Bullous,DrugEruption,3
Bullous,Infestations_Bites,3
DrugEruption,Vasculitis,3
Eczema,DrugEruption,3
Infestations_Bites,DrugEruption,3
Eczema,Vasculitis,3
Infestations_Bites,Sun_Sunlight_Damage,3
Psoriasis,Lichen,3
Moles,Vascular_Tumors,3
Psoriasis,Vasculitis,3
Psoriasis,Vascular_Tumors,3
Seborrh_Keratoses,Warts,3
Vasculitis,Vascular_Tumors,3
Warts,Vascular_Tumors,3
Warts,Benign_tumors,3
Vascular_Tumors,Vasculitis,3
Tinea,Psoriasis,3
SkinCancer,Vasculitis,3
Seborrh_Keratoses,Moles,3
Vitiligo,Unknown_Normal,3
Actinic_Keratosis,SkinCancer,2
Actinic_Keratosis,Lupus,2
Benign_tumors,Vasculitis,2
Benign_tumors,Lichen,2
DrugEruption,Vascular_Tumors,2
Eczema,Benign_tumors,2
Candidiasis,Lichen,2
Candidiasis,Actinic_Keratosis,2
Bullous,Vascular_Tumors,2
Acne,Vascular_Tumors,2
Actinic_Keratosis,Bullous,2
Actinic_Keratosis,Acne,2
Acne,Rosacea,2
SkinCancer,Actinic_Keratosis,2
Rosacea,Actinic_Keratosis,2
Seborrh_Keratoses,Eczema,2
Tinea,Infestations_Bites,2
Lichen,Benign_tumors,2
Lupus,Psoriasis,2
SkinCancer,Vascular_Tumors,2
Sun_Sunlight_Damage,Benign_tumors,2
Sun_Sunlight_Damage,Actinic_Keratosis,2
Sun_Sunlight_Damage,Eczema,2
SkinCancer,DrugEruption,2
Seborrh_Keratoses,Sun_Sunlight_Damage,2
Warts,Bullous,2
Vasculitis,Tinea,2
Vitiligo,Lichen,2
Vascular_Tumors,Eczema,2
SkinCancer,Sun_Sunlight_Damage,2
Sun_Sunlight_Damage,Vascular_Tumors,2
Sun_Sunlight_Damage,SkinCancer,2
Lupus,Acne,2
Infestations_Bites,Moles,2
Lichen,Actinic_Keratosis,2
Lupus,Vitiligo,2
Lupus,Benign_tumors,2
Lupus,DrugEruption,2
Psoriasis,Candidiasis,2
Psoriasis,Tinea,2
Infestations_Bites,Tinea,2
Tinea,Lichen,2
Tinea,Vasculitis,2
Infestations_Bites,Vascular_Tumors,2
Lichen,Psoriasis,2
Warts,Acne,2
Eczema,Acne,1
Eczema,Actinic_Keratosis,1
Actinic_Keratosis,Infestations_Bites,1
Actinic_Keratosis,Eczema,1
Actinic_Keratosis,Lichen,1
DrugEruption,Lupus,1
DrugEruption,Moles,1
DrugEruption,Seborrh_Keratoses,1
DrugEruption,SkinCancer,1
DrugEruption,Sun_Sunlight_Damage,1
DrugEruption,Bullous,1
DrugEruption,Infestations_Bites,1
Bullous,Benign_tumors,1
Candidiasis,Benign_tumors,1
Candidiasis,Psoriasis,1
Candidiasis,Sun_Sunlight_Damage,1
Candidiasis,Warts,1
DrugEruption,Acne,1
Bullous,Actinic_Keratosis,1
Bullous,Eczema,1
Bullous,Lichen,1
Bullous,Tinea,1
Acne,Warts,1
Acne,Sun_Sunlight_Damage,1
Acne,Lupus,1
Actinic_Keratosis,DrugEruption,1
Benign_tumors,Acne,1
Benign_tumors,Infestations_Bites,1
Actinic_Keratosis,Sun_Sunlight_Damage,1
Actinic_Keratosis,Vasculitis,1
Benign_tumors,Sun_Sunlight_Damage,1
Benign_tumors,Seborrh_Keratoses,1
Benign_tumors,Psoriasis,1
Benign_tumors,Warts,1
Eczema,Candidiasis,1
Rosacea,Acne,1
Psoriasis,Moles,1
Psoriasis,Sun_Sunlight_Damage,1
Psoriasis,Actinic_Keratosis,1
Moles,Sun_Sunlight_Damage,1
Psoriasis,Bullous,1
Psoriasis,DrugEruption,1
Lupus,SkinCancer,1
Lupus,Rosacea,1
Lupus,Vasculitis,1
Lupus,Tinea,1
Moles,Acne,1
Moles,Eczema,1
Moles,Lichen,1
Moles,Seborrh_Keratoses,1
Lupus,Lichen,1
Lupus,Actinic_Keratosis,1
Infestations_Bites,Rosacea,1
Infestations_Bites,Lupus,1
Infestations_Bites,Lichen,1
Eczema,Seborrh_Keratoses,1
Eczema,Vascular_Tumors,1
Infestations_Bites,Actinic_Keratosis,1
Eczema,Rosacea,1
Lichen,Candidiasis,1
Lichen,Lupus,1
Lichen,Eczema,1
Lichen,Rosacea,1
Lichen,Vascular_Tumors,1
Lichen,Vasculitis,1
Lichen,Warts,1
Eczema,Sun_Sunlight_Damage,1
Infestations_Bites,SkinCancer,1
Infestations_Bites,Seborrh_Keratoses,1
Moles,SkinCancer,1
Sun_Sunlight_Damage,Moles,1
Tinea,Benign_tumors,1
Tinea,Actinic_Keratosis,1
Sun_Sunlight_Damage,Lichen,1
Seborrh_Keratoses,Lichen,1
Rosacea,Benign_tumors,1
Rosacea,Lupus,1
Rosacea,Vascular_Tumors,1
Seborrh_Keratoses,Vascular_Tumors,1
SkinCancer,Seborrh_Keratoses,1
SkinCancer,Eczema,1
SkinCancer,Lupus,1
Tinea,Bullous,1
Vascular_Tumors,SkinCancer,1
Tinea,Warts,1
Unknown_Normal,Actinic_Keratosis,1
Tinea,DrugEruption,1
Tinea,Lupus,1
Tinea,Rosacea,1
Tinea,SkinCancer,1
Vitiligo,DrugEruption,1
Vasculitis,SkinCancer,1
Vasculitis,Lichen,1
Vasculitis,Lupus,1
Vasculitis,DrugEruption,1
Vasculitis,Acne,1
Warts,Moles,1
Warts,Vasculitis,1
