,precision,recall,f1-score,support
Lupus,0.6428571428571429,0.5294117647058824,0.5806451612903226,34.0
Moles,0.5853658536585366,0.6,0.5925925925925926,40.0
Infestations_Bites,0.7837837837837838,0.4833333333333333,0.5979381443298969,60.0
Sun_Sunlight_Damage,0.5945945945945946,0.6470588235294118,0.6197183098591549,34.0
Vascular_Tumors,0.5769230769230769,0.75,0.6521739130434783,60.0
SkinCancer,0.75,0.5844155844155844,0.656934306569343,77.0
Vasculitis,0.5753424657534246,0.8076923076923077,0.672,52.0
Lichen,0.6833333333333333,0.6721311475409836,0.6776859504132231,61.0
DrugEruption,0.6615384615384615,0.7049180327868853,0.6825396825396826,61.0
Candidiasis,0.6785714285714286,0.7037037037037037,0.6909090909090909,27.0
Benign_tumors,0.6333333333333333,0.7851239669421488,0.7011070110701108,121.0
Rosacea,0.6666666666666666,0.7857142857142857,0.7213114754098361,28.0
Psoriasis,0.7922077922077922,0.6931818181818182,0.7393939393939394,88.0
Seborrh_Keratoses,0.85,0.6666666666666666,0.7472527472527473,51.0
Eczema,0.780952380952381,0.7321428571428571,0.7557603686635944,112.0
Tinea,0.7676767676767676,0.7450980392156863,0.7562189054726368,102.0
Bullous,0.8444444444444444,0.6909090909090909,0.76,55.0
Actinic_Keratosis,0.7471264367816092,0.7831325301204819,0.7647058823529411,83.0
Warts,0.8125,0.8125,0.8125,64.0
Acne,0.8285714285714286,0.8923076923076924,0.8592592592592593,65.0
Vitiligo,0.8941176470588236,0.926829268292683,0.9101796407185628,82.0
Unknown_Normal,0.9836956521739132,0.9576719576719576,0.970509383378016,189.0
